Elevator,Floor,Layout,Region,Renovation,Size,Year,Price
,10,2室1厅,通州,精装,95,2010,385
,6,2室1厅,朝阳,简装,62,1998,210
,6,2室1厅,大兴,精装,95,2004,285
,26,1室0厅,西城,简装,19,2006,280
,6,2室2厅,大兴,简装,111,2004,469
无电梯,6,3室1厅,通州,毛坯,80,1985,321
有电梯,16,3室2厅,朝阳,精装,150,2010,902
,18,2室1厅,西城,简装,63,1992,810
,6,3室2厅,房山,其他,141,2005,243
,6,1室1厅,大兴,简装,48,1996,235
有电梯,29,2室1厅,丰台,精装,93,2004,525
有电梯,14,3室1厅,东城,简装,69,1987,580
,6,2室1厅,海淀,精装,51,1981,450
,14,4室2厅,丰台,精装,169,2016,2300
有电梯,13,3室2厅,大兴,精装,180,2007,760
,6,3室1厅,昌平,精装,125,2006,579
,9,2室1厅,亦庄开发区,简装,120,2006,420
,29,2室1厅,丰台,精装,102,2004,575
有电梯,6,4室3厅,朝阳,精装,287,2007,3600
,5,2室1厅,朝阳,简装,56,1980,405
有电梯,20,3室2厅,朝阳,精装,130,2006,765
有电梯,28,2室1厅,朝阳,简装,96,2007,650
无电梯,4,3室2厅,门头沟,精装,166,2006,660
有电梯,25,1室0厅,西城,简装,43,2003,375
有电梯,18,2室1厅,丰台,其他,76,1999,495
,18,1室1厅,丰台,其他,63,2004,440
无电梯,5,2室1厅,丰台,精装,49,1979,249
,6,3室2厅,昌平,精装,145,2007,568
有电梯,19,1室0厅,东城,简装,55,2003,510
,10,2室2厅,顺义,精装,100,2009,290
有电梯,27,4室1厅,西城,其他,185,2002,2220
,4,3室1厅,海淀,其他,92,1973,1160
,6,5室4厅,通州,精装,191,2005,621
无电梯,6,2室1厅,海淀,精装,87,1995,595
无电梯,6,2室1厅,昌平,精装,80,2005,395
,6,2室1厅,东城,简装,89,1994,529
有电梯,9,2室1厅,海淀,精装,90,2003,650
无电梯,4,2室1厅,顺义,简装,88,1995,355
无电梯,6,3室1厅,顺义,简装,138,2004,400
无电梯,6,3室1厅,东城,简装,73,1988,560
有电梯,24,3室2厅,丰台,简装,145,2001,880
有电梯,15,5室2厅,大兴,精装,270,2007,900
无电梯,6,3室2厅,房山,简装,87,1994,305
无电梯,6,2室1厅,朝阳,简装,59,1986,560
无电梯,6,2室1厅,海淀,简装,56,1993,490
有电梯,10,1室0厅,丰台,精装,56,2005,355
无电梯,6,2室1厅,西城,其他,63,1996,570
有电梯,27,1室0厅,西城,其他,32,2013,375
无电梯,6,2室2厅,通州,简装,98,2004,460
有电梯,6,2室1厅,房山,精装,74,2010,320
,10,2室1厅,东城,精装,50,1990,580
有电梯,9,2室1厅,东城,精装,79,2003,795
,14,2室1厅,昌平,精装,93,2013,370
无电梯,6,3室1厅,西城,其他,73,1986,680
有电梯,12,2室1厅,海淀,精装,113,2002,810
有电梯,26,4室1厅,大兴,精装,169,2014,680
,4,2室1厅,东城,精装,69,2003,568
有电梯,15,3室2厅,通州,其他,127,2012,600
,16,2室1厅,朝阳,精装,76,2007,960
,18,2室2厅,朝阳,精装,102,2010,638
无电梯,4,1室1厅,顺义,精装,58,1999,280
有电梯,11,2室2厅,通州,精装,108,2005,497
,28,2室1厅,丰台,简装,68,2010,285
有电梯,27,3室1厅,东城,精装,195,2004,1661
有电梯,14,3室1厅,海淀,精装,87,1992,820
有电梯,16,3室1厅,大兴,毛坯,143,2006,530
无电梯,6,3室3厅,门头沟,精装,165,2006,550
有电梯,20,3室1厅,房山,精装,88,2012,380
无电梯,6,3室1厅,西城,其他,75,1992,685
无电梯,6,2室1厅,朝阳,精装,95,1990,570
有电梯,8,2室1厅,昌平,其他,114,2013,455
有电梯,24,3室1厅,朝阳,简装,106,2000,435
有电梯,13,4室2厅,海淀,精装,209,2004,2350
有电梯,15,1室0厅,昌平,简装,56,2009,278
有电梯,25,4室2厅,大兴,精装,96,2014,430
有电梯,16,2室1厅,海淀,精装,49,1987,435
无电梯,6,2室1厅,朝阳,精装,71,2007,426
,6,2室1厅,西城,其他,56,1982,530
无电梯,6,3室2厅,海淀,毛坯,119,2000,650
,6,2室1厅,朝阳,简装,57,1991,425
无电梯,6,2室1厅,房山,简装,93,2001,260
有电梯,15,2室1厅,海淀,精装,122,2003,1180
有电梯,12,3室1厅,石景山,精装,87,1996,420
,16,3室1厅,丰台,精装,87,1993,480
无电梯,4,4室2厅,大兴,其他,160,2009,1050
有电梯,22,2室1厅,通州,精装,91,2012,460
,7,2室1厅,海淀,精装,65,1994,640
无电梯,6,2室1厅,西城,其他,62,1987,570
,2,5室2厅,顺义,精装,222,2008,2300
,11,3室1厅,房山,其他,102,2015,495
有电梯,17,1室1厅,通州,精装,66,2010,312
,28,2室1厅,房山,精装,89,2011,395
无电梯,6,3室2厅,顺义,精装,133,2006,450
,20,1室1厅,丰台,简装,61,2007,280
,15,2室1厅,丰台,精装,77,1989,399
,24,3室2厅,丰台,简装,154,2001,898
有电梯,11,3室1厅,大兴,其他,136,2005,705
有电梯,18,2室1厅,丰台,精装,80,2002,520
有电梯,30,2室1厅,东城,精装,173,1998,1500
,22,3室2厅,朝阳,毛坯,124,2000,620
无电梯,6,2室1厅,通州,简装,65,1994,305
,6,2室2厅,大兴,简装,68,1998,253
有电梯,17,2室1厅,通州,精装,105,2010,520
有电梯,13,3室2厅,朝阳,精装,132,2003,902
有电梯,14,3室1厅,朝阳,简装,153,2000,910
无电梯,6,2室1厅,昌平,简装,84,1999,310
无电梯,6,3室1厅,昌平,其他,117,2005,550
有电梯,17,4室1厅,西城,简装,108,1999,830
,22,1室1厅,东城,精装,65,2004,550
,32,3室2厅,昌平,简装,138,2003,500
无电梯,6,2室1厅,海淀,其他,64,1980,571
有电梯,10,1室1厅,大兴,精装,58,2004,292.5
,5,2室1厅,西城,简装,54,1982,510
有电梯,14,2室1厅,通州,精装,93,2009,295
,30,3室2厅,朝阳,简装,126,1997,790
有电梯,26,2室1厅,大兴,简装,85,2015,360
,8,3室2厅,大兴,其他,126,2012,470
,6,2室1厅,顺义,简装,81,1994,325
无电梯,6,1室1厅,朝阳,精装,42,1985,337
,5,2室1厅,西城,其他,56,1970,608
,14,2室1厅,顺义,精装,92,2010,330
有电梯,16,1室0厅,西城,精装,51,2007,435
有电梯,15,8室3厅,大兴,精装,414,2012,2580
,15,3室1厅,顺义,精装,121,2012,500
,20,3室2厅,朝阳,精装,226,2005,2330
,6,3室2厅,大兴,简装,147,2001,560
有电梯,25,3室1厅,丰台,其他,92,1990,593
无电梯,6,3室1厅,丰台,精装,88,1996,570
无电梯,6,2室1厅,大兴,简装,72,1997,325
无电梯,6,2室1厅,通州,简装,93,2003,456
有电梯,11,3室1厅,通州,毛坯,120,2013,565
,6,1室1厅,东城,简装,48,1992,486
有电梯,10,4室2厅,海淀,精装,288,2014,2950
,14,3室1厅,西城,精装,86,1999,800
,2,4室2厅,房山,其他,159,1999,1100
有电梯,18,2室1厅,石景山,精装,86,2009,750
有电梯,10,3室1厅,朝阳,精装,154,2005,1130
无电梯,6,2室1厅,丰台,简装,63,1990,275
有电梯,18,2室1厅,海淀,简装,57,1987,470
,3,4室2厅,昌平,精装,206,2001,1750
,6,2室1厅,石景山,简装,66,1995,377
无电梯,6,3室2厅,朝阳,简装,111,2005,760
无电梯,4,3室1厅,朝阳,精装,71,1971,500
,24,2室1厅,海淀,精装,112,2000,880
无电梯,4,4室3厅,顺义,精装,239,2001,950
有电梯,10,2室1厅,东城,其他,83,2001,875
有电梯,22,3室1厅,昌平,简装,139,2004,428
无电梯,7,3室2厅,海淀,精装,129,1999,1198
有电梯,20,1室1厅,朝阳,精装,71,2009,400
,18,1室1厅,朝阳,精装,57,2010,255
有电梯,6,5室3厅,大兴,精装,337,2012,1600
有电梯,18,2室1厅,西城,精装,75,1996,650
,11,3室2厅,顺义,精装,100,2013,350
有电梯,17,1室1厅,大兴,其他,66,2010,310
有电梯,13,2室1厅,西城,精装,65,1993,880
,6,3室1厅,昌平,其他,121,2008,480
无电梯,5,2室1厅,顺义,其他,112,2002,380
,16,2室1厅,朝阳,精装,76,2004,700
有电梯,24,3室2厅,朝阳,精装,163,2000,570
有电梯,21,1室1厅,通州,简装,57,2009,300
,6,2室1厅,大兴,简装,77,1996,265
,10,2室1厅,大兴,精装,62,2008,285
,3,4室2厅,昌平,精装,264,2007,1800
无电梯,6,2室1厅,丰台,简装,68,2000,440
,11,4室2厅,门头沟,精装,144,2012,720
无电梯,6,2室1厅,大兴,简装,70,2005,308
,20,3室1厅,西城,其他,223,2005,2000
有电梯,16,2室1厅,石景山,其他,79,1997,350
无电梯,5,2室1厅,东城,其他,66,1987,703
有电梯,12,2室1厅,丰台,简装,85,1990,425
有电梯,27,2室1厅,丰台,简装,142,1999,582
有电梯,10,3室1厅,昌平,精装,92,2010,440
无电梯,6,3室1厅,昌平,其他,97,2005,470
无电梯,6,2室1厅,丰台,简装,57,1990,270
无电梯,6,3室2厅,昌平,简装,113,2004,530
有电梯,22,2室1厅,通州,简装,87,2008,290
,15,3室1厅,房山,精装,165,2013,820
,29,4室1厅,大兴,简装,160,2015,850
有电梯,29,2室1厅,丰台,简装,76,2005,375
有电梯,25,3室1厅,丰台,其他,135,1998,915
有电梯,18,2室1厅,大兴,精装,91,2007,440
,6,2室2厅,顺义,精装,89,2004,450
,18,2室1厅,西城,精装,85,2000,850
有电梯,21,3室2厅,海淀,简装,205,2000,1810
,5,1室1厅,东城,简装,53,2003,766
无电梯,4,3室2厅,亦庄开发区,简装,156,2002,890
,5,3室2厅,亦庄开发区,精装,151,2001,668
,4,3室2厅,昌平,简装,142,2001,540
无电梯,6,2室1厅,东城,其他,65,1995,580
,22,2室1厅,西城,其他,75,1998,690
无电梯,5,3室1厅,西城,简装,71,1976,860
,6,2室1厅,大兴,简装,70,1995,250
无电梯,6,2室1厅,昌平,其他,106,1997,369
,21,1室1厅,昌平,其他,82,2012,350
有电梯,27,2室1厅,朝阳,精装,130,2005,1045
无电梯,6,2室1厅,房山,其他,105,1999,280
无电梯,6,2室1厅,西城,精装,78,1990,745
,26,2室1厅,海淀,其他,105,2001,1200
无电梯,5,2室1厅,丰台,简装,65,1980,273
有电梯,15,2室1厅,朝阳,简装,64,1984,380
有电梯,18,3室1厅,大兴,简装,121,2012,660
有电梯,15,2室1厅,朝阳,精装,115,2006,1200
,5,3室1厅,丰台,简装,56,1985,276
无电梯,6,1室1厅,东城,其他,41,1980,423
无电梯,6,1室1厅,大兴,简装,67,2000,240
,19,3室1厅,海淀,精装,150,2003,1270
,20,3室1厅,西城,其他,73,1992,960
有电梯,14,2室1厅,昌平,精装,112,2000,385
,19,2室2厅,朝阳,简装,107,2004,765
有电梯,21,1室1厅,西城,其他,63,2011,640
无电梯,6,1室0厅,西城,精装,32,1982,520
,6,2室1厅,昌平,精装,86,2000,399
,18,2室1厅,大兴,精装,108,2006,365
有电梯,22,1室1厅,丰台,其他,61,2004,245
,6,3室2厅,昌平,简装,124,2007,478
,24,2室2厅,朝阳,精装,112,2001,680
,12,2室1厅,朝阳,简装,75,1995,610
无电梯,6,2室1厅,东城,简装,69,1985,950
有电梯,24,2室2厅,丰台,简装,118,2005,655
无电梯,6,3室2厅,丰台,精装,143,2002,900
,6,2室1厅,顺义,其他,73,2007,365
有电梯,8,1室1厅,东城,精装,60,2005,420
有电梯,26,2室1厅,海淀,精装,105,2001,1080
,7,2室1厅,海淀,其他,96,1999,920
,31,2室1厅,朝阳,精装,78,2003,538
有电梯,12,3室2厅,西城,简装,368,2003,4050
,19,2室0厅,西城,精装,64,2000,555
,6,2室1厅,大兴,精装,98,2000,370
,20,1室1厅,西城,精装,38,2004,475
,6,3室1厅,昌平,简装,131,2001,445
有电梯,12,5室3厅,昌平,精装,241,2004,1150
,6,2室1厅,东城,简装,56,1988,508
,5,2室1厅,西城,其他,55,1987,700
,20,3室2厅,朝阳,精装,108,1997,720
,6,2室1厅,房山,精装,90,2002,230
有电梯,15,1室1厅,东城,精装,57,2008,515
,6,3室1厅,房山,简装,73,1993,230
